tm,stn,ta,rn,vs
202204150800,221,8.5,-9.0,2000
202204150800,226,7.4,-9.0,1992
202204150800,232,7.7,-9.0,3699
202204150800,235,9.3,-9.0,1898
202204150800,236,9.3,-9.0,2000
202204150800,238,9.1,-9.0,2000
202204150800,239,9.2,-9.0,1553
202204150800,243,10.4,-9.0,4258
202204150800,244,9.5,-9.0,2000
202204150800,245,9.1,-9.0,1989
202204150800,247,10.9,-9.0,5328
202204150800,248,8.3,-9.0,2000
202204150800,251,9.3,-9.0,4973
202204150800,252,10.1,-9.0,1581
202204150800,253,10.9,-9.0,3592
202204150800,254,11.5,-9.0,3913
202204150800,255,11.4,-9.0,4963
202204150800,257,11.2,-9.0,1499
202204150800,258,12.5,-9.0,5000
202204150800,259,14.1,-9.0,1978
202204150800,260,13.7,-9.0,2000
202204150800,261,12.7,-9.0,1987
202204150800,262,11.5,-9.0,2000
202204150800,263,10.9,-9.0,5000
202204150800,264,9.9,-9.0,5000
202204150800,266,11.1,-9.0,1352
202204150800,268,12.6,-9.0,1994
202204150800,271,9.0,-9.0,2000
202204150800,272,8.7,-9.0,2000
202204150800,273,8.8,-9.0,2971
202204150800,276,9.6,-9.0,5000
202204150800,277,11.0,-9.0,1986
202204150800,278,10.8,-9.0,2000
202204150800,279,10.4,-9.0,2000
202204150800,281,11.0,-9.0,4746
202204150800,283,10.2,-9.0,4633
202204150800,284,9.2,-9.0,2000
202204150800,285,10.7,-9.0,2000
202204150800,288,11.8,-9.0,4989
202204150800,289,10.0,-9.0,4017
202204150800,294,10.9,-9.0,3349
202204150800,295,11.8,-9.0,2000
202204151900,90,9.9,-9.0,5000
202204151900,93,11.6,-9.0,-9
202204151900,95,12.7,-9.0,2457
202204151900,98,14.3,-9.0,1444
202204151900,99,15.1,-9.0,1557
202204151900,100,3.0,-9.0,1756
202204151900,101,13.1,0.0,2000
202204151900,102,9.5,-9.0,2176
202204151900,104,9.1,-9.0,2000
202204151900,105,10.5,-9.0,1553
202204151900,106,9.5,-9.0,4843
202204151900,108,14.8,-9.0,2000
202204151900,112,12.2,-9.0,2000
202204151900,114,15.0,-9.0,2000
202204151900,115,6.0,-9.0,2000
202204151900,119,12.5,-9.0,2000
202204151900,121,11.1,-9.0,2000
202204151900,127,14.8,-9.0,1991
202204151900,129,11.1,-9.0,2264
202204151900,130,9.2,-9.0,5000
202204151900,131,14.7,-9.0,3042
202204151900,133,14.4,-9.0,2000
202204151900,135,14.4,-9.0,3683
202204151900,136,10.6,-9.0,2000
202204151900,137,15.7,-9.0,4964
202204151900,138,10.5,-9.0,2000
202204151900,140,10.8,-9.0,2000
202204151900,143,10.9,-9.0,2000
202204151900,146,12.9,-9.0,2000
202204151900,152,9.7,-9.0,2000
202204151900,155,12.3,-9.0,2000
202204151900,156,14.2,-9.0,2000
202204151900,159,10.7,-9.0,5000
202204151900,162,12.4,-9.0,2000
202204151900,165,10.9,-9.0,2000
202204151900,168,12.5,-9.0,2000
202204151900,169,9.3,-9.0,1041
202204151900,170,14.3,-9.0,2000
202204151900,172,10.4,-9.0,1788
202204151900,174,14.4,-9.0,1614
202204151900,177,13.6,-9.0,4065
202204151900,181,13.3,-9.0,5000
202204151900,184,13.4,-9.0,3045
202204151900,185,12.2,-9.0,2000
202204151900,188,12.9,-9.0,2000
202204151900,189,16.4,-9.0,2000
202204151900,192,13.3,-9.0,2000
202204151900,201,14.7,-9.0,3038
202204151900,202,15.9,-9.0,2000
202204151900,203,14.9,-9.0,2000
202204151900,211,9.8,-9.0,5009
202204151900,212,12.6,-9.0,5009
202204151900,216,3.3,-9.0,2000
202204151900,217,8.6,-9.0,1640
202204151900,221,11.4,-9.0,2000
